ticker,in_return,in_sd,in_Sharpe,out_return,out_sd,out_Sharpe,Sharpe_diff
LRLCY.Close,-0.025685429,0.203788587,-0.126,0.34266634,0.178864525,1.9158,-2.0418
CICHF.Close,-0.698029281,0.306420605,-2.278,-0.529384757,0.190818657,-2.7743,0.4963
CICHY.Close,-0.065578616,0.144705373,-0.4532,0.256566618,0.105817181,2.4246,-2.8778
MCD.Close,-0.041480013,0.251444527,-0.165,0.01793596,0.137071166,0.1309,-0.2959
NKE.Close,0.016892843,0.247831276,0.0682,-0.088837871,0.209946944,-0.4231,0.4913
INTC.Close,-0.241711844,0.323169563,-0.7479,-0.266436555,0.206381165,-1.291,0.5431
WFC.Close,0.053119166,0.3771334,0.1408,-0.123727409,0.251096026,-0.4927,0.6335
C.PJ.Close,-0.03877904,0.163765075,-0.2368,-0.049524098,0.048223621,-1.027,0.7902
TMUS.Close,-0.216877202,0.240898204,-0.9003,-0.195021363,0.186703985,-1.0445,0.1442
PM.Close,-0.096472816,0.237425611,-0.4063,-0.023155801,0.173657024,-0.1333,-0.273
AMD.Close,-0.288752881,0.374721997,-0.7706,-0.131818693,0.370685538,-0.3556,-0.415
LIN.Close,0.055125641,0.232930364,0.2367,0.202237209,0.161209487,1.2545,-1.0178
TXN.Close,-0.267502049,0.252547408,-1.0592,-0.267691461,0.146997912,-1.8211,0.7619
BMY.Close,-0.001773647,0.173879246,-0.0102,0.168835693,0.099609539,1.695,-1.7052
UPS.Close,-0.144578255,0.205137863,-0.7048,0.023625251,0.181929295,0.1299,-0.8347
QCOM.Close,-0.102922433,0.297302532,-0.3462,0.16936885,0.270216994,0.6268,-0.973
