nombre,plazo,precio_limpio,precio_sucio,tasa_rend__o_cupon
cetes28,45422,45438,45439,45470
cetes91,45423,45440,45441,45471
cetes182,45424,45442,45443,45472
cetes364,45425,45444,45445,45473
cetes2a,349886,349887,349888,349889
bonos_0_3,45427,45448,45449,45475
bonos_3_5,45428,45450,45451,45476
bonos_7_10,45430,45454,45455,45478
bonos_10_20,45431,45456,45457,45479
bonos_20_30,60720,60721,60722,60723
